Somaliland,Hargeisa,0
South Georgia and South Sandwich Islands,King Edward Point,0
French Southern and Antarctic Lands,Port-aux-Fran̤ais,0
Palestine,Jerusalem,0
Aland Islands,Mariehamn,0
Nauru,Yaren,0
Saint Martin,Marigot,0
Tokelau,Atafu,0
Western Sahara,El-Aai̼n,0
Afghanistan,Kabul,0
Albania,Tirana,0
Algeria,Algiers,0
American Samoa,Pago Pago,0
Andorra,Andorra la Vella,1
Angola,Luanda,2
Anguilla,The Valley,0
Antigua and Barbuda,Saint John's,0
Argentina,Buenos Aires,68
Armenia,Yerevan,4
Aruba,Oranjestad,4
Australia,Canberra,3
Austria,Vienna,15
Azerbaijan,Baku,4
Bahamas,Nassau,11
Bahrain,Manama,47
Bangladesh,Dhaka,1
Barbados,Bridgetown,3
Belarus,Minsk,7
Belgium,Brussels,14
Belize,Belmopan,0
Benin,Porto-Novo,0
Bermuda,Hamilton,4
Bhutan,Thimphu,0
Bolivia,La Paz,8
Bosnia and Herzegovina,Sarajevo,4
Botswana,Gaborone,0
Brazil,Brasilia,0
British Virgin Islands,Road Town,2
Brunei Darussalam,Bandar Seri Begawan,3
Bulgaria,Sofia,8
Burkina Faso,Ouagadougou,0
Myanmar,Rangoon,7
Burundi,Bujumbura,0
Cambodia,Phnom Penh,18
Cameroon,Yaounde,0
Canada,Ottawa,69
Cape Verde,Praia,0
Cayman Islands,George Town,0
Central African Republic,Bangui,0
Chad,N'Djamena,0
Chile,Santiago,103
China,Beijing,89
Christmas Island,The Settlement,0
Cocos Islands,West Island,0
Colombia,Bogota,17
Comoros,Moroni,0
Democratic Republic of the Congo,Kinshasa,0
Republic of Congo,Brazzaville,0
Cook Islands,Avarua,0
Costa Rica,San Jose,15
Cote d'Ivoire,Yamoussoukro,0
Croatia,Zagreb,8
Cuba,Havana,0
Cura̤ao,Willemstad,1
Cyprus,Nicosia,5
Czech Republic,Prague,39
Denmark,Copenhagen,15
Djibouti,Djibouti,0
Dominica,Roseau,0
Dominican Republic,Santo Domingo,0
Ecuador,Quito,15
Egypt,Cairo,42
El Salvador,San Salvador,11
Equatorial Guinea,Malabo,0
Eritrea,Asmara,0
Estonia,Tallinn,0
Ethiopia,Addis Ababa,0
Falkland Islands,Stanley,0
Faroe Islands,Torshavn,0
Fiji,Suva,1
Finland,Helsinki,7
France,Paris,74
French Polynesia,Papeete,0
Gabon,Libreville,0
The Gambia,Banjul,0
Georgia,Tbilisi,7
Germany,Berlin,21
Ghana,Accra,4
Gibraltar,Gibraltar,4
Greece,Athens,22
Greenland,Nuuk,0
Grenada,Saint George's,0
Guam,Hagatna,10
Guatemala,Guatemala City,10
Guernsey,Saint Peter Port,0
Guinea,Conakry,0
Guinea-Bissau,Bissau,0
Guyana,Georgetown,0
Haiti,Port-au-Prince,0
Vatican City,Vatican City,9
Honduras,Tegucigalpa,0
Hungary,Budapest,27
Iceland,Reykjavik,6
India,New Delhi,39
Indonesia,Jakarta,110
Iran,Tehran,0
Iraq,Baghdad,0
Ireland,Dublin,58
Isle of Man,Douglas,1
Israel,Jerusalem,0
Italy,Rome,6
Jamaica,Kingston,2
Japan,Tokyo,104
Jersey,Saint Helier,0
Jordan,Amman,26
Kazakhstan,Astana,5
Kenya,Nairobi,0
Kiribati,Tarawa,0
North Korea,Pyongyang,0
South Korea,Seoul,81
Kosovo,Pristina,0
Kuwait,Kuwait City,118
Kyrgyzstan,Bishkek,0
Laos,Vientiane,3
Latvia,Riga,0
Lebanon,Beirut,38
Lesotho,Maseru,0
Liberia,Monrovia,0
Libya,Tripoli,0
